50 1045
14 8 5434
14 9 2373
14 10 5186
14 11 6182
14 15 6535
14 16 2462
14 18 7905
14 19 8117
14 20 601
14 21 3397
14 24 2708
14 25 7773
14 26 5067
14 27 7085
14 28 1898
14 29 905
14 30 8791
14 31 8725
14 32 3985
14 33 5727
14 34 7145
14 35 4793
14 37 7230
14 38 1087
14 40 6189
14 41 1028
14 42 4794
14 43 9696
14 45 5592
14 46 7123
14 47 7231
14 48 3712
15 11 8246
15 18 7528
15 20 9714
15 41 4443
16 5 9627
16 6 2279
16 8 3894
16 10 9052
16 11 5048
16 15 9440
16 18 2410
16 19 2596
16 20 1717
16 21 9632
16 25 496
16 29 5877
16 30 7244
16 32 6520
16 33 9863
16 34 3560
16 35 3118
16 38 5804
16 40 6861
16 41 9401
16 45 215
17 0 3623
17 1 6119
17 4 4510
17 5 948
17 6 8213
17 7 9827
17 8 4742
17 9 5816
17 10 6511
17 11 4957
17 14 8443
17 15 4692
17 16 8926
17 18 298
17 19 2314
17 20 9870
17 21 1508
17 22 1357
17 24 5334
17 25 7598
17 26 9620
17 27 6111
17 28 2204
17 29 8823
17 30 1334
17 31 8841
17 32 7432
17 33 9923
17 34 5245
17 35 2454
17 37 521
17 38 6179
17 40 2807
17 41 1282
17 42 9564
17 43 3204
17 45 1076
17 46 6548
17 47 490
17 48 248
18 11 4660
18 20 9287
19 5 1981
19 6 3126
19 11 3524
19 15 6491
19 18 7818
19 20 521
19 21 167
19 29 2606
19 34 7772
19 41 4665
19 45 2470
20 11 4769
21 5 2842
21 6 4435
21 11 3637
21 15 6013
21 18 2744
21 20 9416
21 29 6227
21 34 9719
21 41 6317
22 0 1618
22 1 9471
22 4 2267
22 5 1874
22 6 268
22 7 3479
22 8 7168
22 9 5030
22 10 123
22 11 7820
22 14 3790
22 15 2275
22 16 3443
22 18 3822
22 19 6375
22 20 3074
22 21 834
22 24 4308
22 25 6852
22 26 7843
22 27 228
22 28 4937
22 29 3744
22 30 8587
22 31 6491
22 32 2752
22 33 6116
22 34 5126
22 35 9374
22 37 2955
22 38 5720
22 40 1751
22 41 7509
22 42 6587
22 43 7288
22 45 2045
22 46 8264
22 47 7960
22 48 1349
24 0 2533
24 1 7464
24 4 9017
24 5 3072
24 6 3301
24 7 786
24 8 7690
24 10 638
24 11 7800
24 15 4321
24 16 4367
24 18 2840
24 19 6449
24 20 9978
24 21 999
24 25 765
24 26 8023
24 27 1908
24 28 1732
24 29 4347
24 30 8554
24 31 2840
24 32 5772
24 33 3677
24 34 3955
24 35 3818
24 37 8630
24 38 643
24 40 3739
24 41 7408
24 42 8263
24 43 6338
24 45 1840
24 46 1545
24 47 8284
24 48 6468
25 5 5654
25 6 7290
25 8 7024
25 10 3896
25 11 1168
25 15 8756
25 18 1106
25 19 1584
25 20 9207
25 21 9816
25 29 8544
25 30 1709
25 32 5407
25 34 4670
25 35 6380
25 40 7594
25 41 4870
25 45 6070
26 0 6566
26 5 1913
26 6 1089
26 8 4581
26 10 5202
26 11 9263
26 15 7712
26 16 6903
26 18 2725
26 19 5943
26 20 6806
26 21 9522
26 25 2307
26 27 6475
26 29 2950
26 30 7695
26 32 9258
26 33 8059
26 34 9608
26 35 337
26 38 8432
26 40 4446
26 41 9616
26 45 1147
26 47 8031
27 5 3290
27 6 1924
27 8 3526
27 10 8968
27 11 2442
27 15 4879
27 16 2248
27 18 4057
27 19 2860
27 20 9505
27 21 303
27 25 680
27 29 7176
27 30 652
27 32 5115
27 33 4266
27 34 7207
27 35 7474
27 38 6690
27 40 6182
27 41 7852
27 45 2401
28 0 3448
28 5 8830
28 6 4266
28 8 762
28 10 959
28 11 7177
28 15 4315
28 16 80
28 18 9334
28 19 7119
28 20 5580
28 21 7625
28 25 166
28 26 9585
28 27 7088
28 29 6296
28 30 9330
28 32 2080
28 33 5547
28 34 9279
28 35 8129
28 38 5359
28 40 2849
28 41 3155
28 45 7304
28 47 9940
29 11 2375
29 15 8390
29 18 3096
29 20 3624
29 34 8371
29 41 7910
30 5 7068
30 6 870
30 11 9205
30 15 9674
30 18 2431
30 19 6231
30 20 8340
30 21 7807
30 29 9670
30 32 8027
30 34 9165
30 41 4809
30 45 4279
31 0 6542
31 5 1189
31 6 1328
31 8 4101
31 10 1024
31 11 7206
31 15 928
31 16 7751
31 18 7831
31 19 5597
31 20 9669
31 21 2091
31 25 5126
31 26 2441
31 27 7566
31 28 1355
31 29 380
31 30 3946
31 32 6599
31 33 5698
31 34 64
31 35 8703
31 38 8915
31 40 9696
31 41 3715
31 45 7936
31 47 5467
32 5 8648
32 6 567
32 11 5453
32 15 7101
32 18 9609
32 19 839
32 20 7347
32 21 5053
32 29 873
32 34 4808
32 41 4305
32 45 709
33 5 366
33 6 5859
33 8 7377
33 10 6716
33 11 5069
33 15 9821
33 18 995
33 19 837
33 20 7013
33 21 7939
33 25 8797
33 29 7008
33 30 7873
33 32 8824
33 34 240
33 35 1037
33 38 7004
33 40 175
33 41 2278
33 45 350
34 3 9689
34 11 9461
34 15 8833
34 18 3329
34 20 2628
34 41 9753
35 5 4572
35 6 8949
35 8 4690
35 10 9078
35 11 6882
35 15 3322
35 18 7142
35 19 2372
35 20 8645
35 21 3040
35 29 3978
35 30 9071
35 32 5653
35 34 3542
35 40 5123
35 41 4590
35 45 8495
36 0 5565
36 1 498
36 2 821
36 4 6830
36 5 3562
36 6 7589
36 7 6123
36 8 7266
36 9 6330
36 10 9071
36 11 6136
36 12 6213
36 14 2924
36 15 9565
36 16 905
36 17 8171
36 18 1377
36 19 357
36 20 958
36 21 6434
36 22 7322
36 24 2533
36 25 6697
36 26 3625
36 27 2980
36 28 961
36 29 1551
36 30 1954
36 31 5420
36 32 8053
36 33 8806
36 34 7702
36 35 5991
36 37 8301
36 38 9244
36 40 5628
36 41 9857
36 42 4177
36 43 7510
36 44 9553
36 45 5375
36 46 1038
36 47 2467
36 48 2475
36 49 912
37 0 1307
37 1 2552
37 4 8933
37 5 342
37 6 1548
37 7 8114
37 8 2392
37 10 9819
37 11 8824
37 15 4238
37 16 914
37 18 2445
37 19 9349
37 20 9424
37 21 1953
37 25 3654
37 26 2334
37 27 7076
37 28 1316
37 29 8623
37 30 6235
37 31 3404
37 32 8677
37 33 6458
37 34 8297
37 35 9938
37 38 8658
37 40 1215
37 41 6804
37 42 9751
37 45 9745
37 47 9560
37 48 886
38 5 5893
38 6 4096
38 8 2817
38 10 7927
38 11 292
38 15 8350
38 18 4900
38 19 6132
38 20 9165
38 21 3089
38 25 2813
38 29 7364
38 30 9519
38 32 4135
38 34 1390
38 35 9020
38 40 5979
38 41 4810
38 45 902
39 13 8182
39 23 779
40 5 1686
40 6 1331
40 8 4909
40 11 8407
40 15 9633
40 18 3696
40 19 2357
40 20 2043
40 21 9327
40 29 9420
40 30 7711
40 32 810
40 34 5541
40 36 1778
40 41 6432
40 45 2166
41 11 7349
41 18 8546
41 20 7863
42 0 3456
42 1 267
42 4 7503
42 5 6823
42 6 7085
42 7 611
42 8 4274
42 10 6212
42 11 1357
42 15 6524
42 16 1693
42 18 8139
42 19 6184
42 20 2231
42 21 5095
42 25 2019
42 26 5902
42 27 5171
42 28 8440
42 29 2099
42 30 5998
42 31 2988
42 32 9493
42 33 4469
42 34 9069
42 35 4672
42 38 1481
42 40 5680
42 41 1235
42 45 7749
42 47 9357
42 48 7869
43 0 7773
43 1 4320
43 4 9718
43 5 5992
43 6 366
43 7 8396
43 8 816
43 10 2890
43 11 3
43 15 4450
43 16 3201
43 18 7375
43 19 6549
43 20 1659
43 21 5423
43 25 7534
43 26 3466
43 27 2929
43 28 3973
43 29 5009
43 30 1828
43 31 3436
43 32 1276
43 33 5695
43 34 3565
43 35 6326
43 37 679
43 38 3595
43 40 8173
43 41 7755
43 42 3582
43 45 9423
43 47 1205
43 48 3592
44 0 6001
44 1 7025
44 4 7579
44 5 6411
44 6 8429
44 7 2276
44 8 4948
44 9 480
44 10 877
44 11 6
44 14 4917
44 15 2408
44 16 7368
44 17 5091
44 18 393
44 19 3007
44 20 4355
44 21 8933
44 22 5769
44 24 3367
44 25 7824
44 26 3937
44 27 3774
44 28 6807
44 29 3178
44 30 6807
44 31 6347
44 32 8683
44 33 9411
44 34 6591
44 35 3634
44 37 8613
44 38 4636
44 40 9238
44 41 6890
44 42 3166
44 43 4762
44 45 8354
44 46 4803
44 47 7196
44 48 335
45 5 2985
45 6 5232
45 11 3012
45 15 7172
45 18 1640
45 20 4890
45 21 7645
45 29 2423
45 34 6066
45 41 397
46 0 5223
46 1 6816
46 4 1674
46 5 419
46 6 6512
46 7 6422
46 8 5581
46 10 7604
46 11 3942
46 15 6143
46 16 6364
46 18 2310
46 19 5167
46 20 5734
46 21 8237
46 25 6869
46 26 8341
46 27 6474
46 28 2508
46 29 6699
46 30 879
46 31 2610
46 32 782
46 33 3918
46 34 1491
46 35 996
46 37 3467
46 38 9694
46 40 2505
46 41 7743
46 42 4248
46 43 651
46 45 8985
46 47 7227
46 48 1959
47 0 1018
47 5 7544
47 6 5807
47 8 6925
47 10 3541
47 11 3404
47 15 9369
47 16 8933
47 18 4512
47 19 973
47 20 5351
47 21 3294
47 25 3540
47 27 1319
47 29 9832
47 30 5015
47 32 9354
47 33 5928
47 34 309
47 35 5612
47 38 1964
47 40 3437
47 41 9582
47 45 2262
48 0 5666
48 1 4841
48 4 9228
48 5 5450
48 6 7657
48 7 1493
48 8 8001
48 10 293
48 11 4849
48 15 7399
48 16 9294
48 18 1873
48 19 1509
48 20 3123
48 21 7140
48 25 4326
48 26 1979
48 27 7893
48 28 770
48 29 2227
48 30 7681
48 31 8082
48 32 5750
48 33 2906
48 34 5837
48 35 4460
48 38 9505
48 40 9190
48 41 8773
48 45 1808
48 47 9444
49 0 2724
49 1 8872
49 4 4553
49 5 7622
49 6 4394
49 7 3854
49 8 4722
49 9 3763
49 10 3897
49 11 4366
49 14 5074
49 15 7341
49 16 1637
49 17 9337
49 18 8522
49 19 2902
49 20 8560
49 21 6674
49 22 6156
49 24 1970
49 25 4794
49 26 9101
49 27 4174
49 28 5564
49 29 7178
49 30 794
49 31 9493
49 32 3135
49 33 8764
49 34 9058
49 35 4202
49 37 834
49 38 3962
49 40 7235
49 41 9107
49 42 525
49 43 140
49 44 8938
49 45 8494
49 46 5795
49 47 9157
49 48 651
